candidate_id,canonical_candidate_id,source,final_verdict,confidence_tier_final,model_used,final_reasoning,wallet,condition_id,market_question,size_usd_approx,direction,outcome_resolved,onchain_flags_count,onchain_wallet_concentration,onchain_size_percentile,onchain_win_aligned,suspicion_score,strongest_evidence,concerns,merge_with_candidate_ids,coordinated_with_candidate_ids
9c96c6387f59a156,9c96c6387f59a156,onchain,rejected,T3,claude-opus-4-7,"The final prices show Yes=0, No=1, meaning the market resolved NO (US did not strike Iran on Feb 21, 2026). The wallet was buying YES at prices 0.94-0.99, which means they LOST. Despite the heuristic flagging 'win_aligned_top', the actual payout data contradicts this — a wallet that lost ~$27K cannot be an insider trade. This looks like someone chasing a market that was pricing near-certainty of a strike that never materialized.",0x095dcfb123a4bc035ee6b0d624bab0cc964352cf,0xe5e57a570056e363a16129a3985cedcdfcb484d0d799a5f527a43baf31a11bf9,"Will the US next strike Iran on February 21, 2026 (ET)?",27027.604147999995,BUY,,6.0,1.0,99.40400170285227,True,1.0,"[""Final prices: Yes=0, No=1 \u2014 market resolved NO"", ""Wallet bought YES at 0.94-0.99 \u2014 ended worthless""]","[""Flow did NOT align with winning outcome \u2014 wallet lost the entire position"", ""The win_aligned flag appears to be a pipeline error given the payout array shows No=1""]",[],[]
671166810162e5de,671166810162e5de,onchain,rejected,T3,claude-sonnet-4-6,"This market — 'Will a Democrat win Virginia Presidential Election?' — is a public US election prediction market. Virginia has been a reliably Democratic state in presidential elections since 2008, and the outcome (Democrat wins) was widely expected. The trades are clustered around Election Day itself (Nov 4-5, 2024), with prices ranging from 0.82 to 0.90, reflecting already-high market consensus. This looks like a large bettor taking a high-probability position on an expected outcome, not insider trading on non-public information. The callout references Trump's presidential win market, which is a different market entirely and not directly applicable here.",0xcd4b9c5fa0051c150b7cf2d420e2af6112e95ea1,0x2758b209d0ce348873b100c1205c2e3c2449222f211e4e9857e29e3071a65fad,Will a Democrat win Virginia Presidential Election?,26307.751248,BUY,,6.0,1.0,96.14825581395348,True,1.0,"[""All 6 on-chain heuristic flags fired: fresh wallet, single market, large first position, win-aligned, directional, early timing"", ""Wallet concentrated 100% of activity in this single market with ~$26K invested""]","[""Virginia was a widely expected Democratic win \u2014 no insider information needed, just a high-probability bet"", ""Prices paid (0.82-0.90) reflect already-high market probability, not asymmetric information"", ""Trades concentrated heavily on Election Day itself, suggesting reaction to public polling/news rather than advance insider knowledge"", ""The referenced T1 callout is for a completely different market (Trump presidential win), not this Virginia state market"", ""Large bettors concentrating in a single near-certain election outcome is common behavior, not necessarily suspicious""]",[],[]
c9908057643ce52f,c9908057643ce52f,onchain,rejected,T2,claude-sonnet-4-6,"While all six on-chain flags fire, this market is a Bitcoin price prediction (BTC above $96K on December 2), which is pure speculation/trading — not a domain where 'insider information' is meaningful. Bitcoin price movements are driven by public market forces, and predicting them does not require privileged information. The market resolved NO (BTC did NOT exceed $96K), meaning the wallet's BUY position on YES was actually a losing trade (payouts show '0' for Yes, '1' for No), so onchain_win_aligned appears to be a flag error or misread. The wallet lost money here.",0x2a923d2f6edbc894e76357104e654b27a0d9071e,0x73fb0d0a80b3a8d43c8e3dfd68e365bcb52cb255e933d7b187202ebdacb1578d,"Will the price of Bitcoin be above $96,000 on December 2?",14776.287444,BUY,,6.0,1.0,98.83720930232558,True,1.0,"[""All 6 on-chain heuristic flags fired, including fresh wallet, single market, large first position"", ""~$14,776 concentrated in a single BTC price prediction market""]","[""Market resolved NO (payouts: Yes=0, No=1), meaning BUY YES position LOST \u2014 flow did NOT align with winning outcome"", ""Bitcoin price prediction markets are speculative by nature \u2014 no insider information advantage exists"", ""The win_aligned flag appears incorrect given the resolution payouts showing Yes=0"", ""Large BTC price bets are common speculative behavior, not indicative of insider trading""]",[],[]
358638876283ebd0,358638876283ebd0,onchain,rejected,T3,claude-opus-4-7,"The wallet bought at ~0.977 on Nov 27, only 6 days before resolution. By late November, Bad Bunny being the top Spotify artist for 2025 was essentially public knowledge (Spotify Wrapped data and year-end streaming rankings were effectively known). Buying at 97.7 cents is not an insider edge — it's picking up nearly-free yield on a near-certain outcome, a common pattern on Polymarket. No information asymmetry is evident.",0x4b2995b6c8cc2cf56899ad62ee87c3f70c97716f,0xfccc16f3bba1210d40db55ee1b71c741be5b14dc3512aba5dc32de5c6e0c4bde,Will Bad Bunny be the top Spotify artist for 2025?,24808.05574000001,BUY,,6.0,1.0,99.3402450518379,True,1.0,"[""All 6 on-chain flags fired; wallet 100% concentrated, $24.8K first position"", ""Flow win-aligned at 99th percentile size""]","[""Entry price ~0.977 implies market already priced this as near-certain \u2014 no info edge"", ""Trade occurred after Spotify Wrapped season when year-end artist rankings are widely discussed publicly"", ""Consistent with yield-farming near-certain outcomes rather than insider trading""]",[],[]
ab89c03596b3ba9e,ab89c03596b3ba9e,onchain,rejected,T3,claude-opus-4-7,"The wallet bought YES (PPP candidate wins) at ~$0.91-0.92 on May 26, 2025, but the market resolved NO ($0, PPP lost). The win_aligned flag appears to be mislabeled — flow direction did NOT align with the winning outcome. This is a losing bet, not an insider trade.",0x22b7a4a639929bc3fc82e774d982c36ab04ab260,0x0567bc02ff9c9e48029c8a1dc889d9748d394fc38ab12493046b9831abd349fd,Will the candidate from the People Power Party win the South Korean Presidential Election?,16688.249480000002,BUY,,6.0,1.0,99.18509895227008,True,1.0,"[""Final prices show YES=0, NO=1, meaning PPP lost"", ""Wallet bought YES tokens at 0.90-0.92 \u2014 they lost this bet""]","[""win_aligned flag in dossier contradicts the actual payout data"", ""Fresh single-purpose wallet with large concentrated position still looks unusual, but a losing insider trade is not insider information""]",[],[]
da41b544d6594bdc,da41b544d6594bdc,onchain,rejected,T3,claude-opus-4-7,"The winning outcome was 'No' (final price 1 for No), but this wallet was buying 'Yes' tokens at prices 0.77-0.97 (token ending 1286 appears to be Yes given the high prices). The large buy on 2025-07-04 at 0.9242 for $6.5K, combined with a small $351 buy of the other token at 0.08, suggests this wallet was betting Yes and lost. The win_aligned flag appears mislabeled — flow direction does not agree with winning outcome.",0xb8f9217870323a0a8ab94a0ffeefea43f27855f0,0x7533173253d5573ca8132c9f595e5387476185c6690e1e12fab00784a2717ea5,Will Elon tweet 150–164 times June 27–July 4?,14740.287408000002,BUY,,6.0,1.0,99.71894322653176,True,1.0,"[""Wallet primarily bought one token at prices 0.77-0.97, consistent with Yes side"", ""Market resolved No (final prices ['0','1']), so these large buys lost""]","[""Token ID mapping to Yes/No not explicitly confirmed; if the 1286-token is actually No, then wallet won \u2014 but buying No at 0.92 right before resolution at 13:12 UTC on July 4 would be odd pricing"", ""Elon tweet count market is somewhat observable/countable publicly, reducing info asymmetry""]",[],[]
ec51a5bb46ca3f3f,ec51a5bb46ca3f3f,onchain,rejected,T3,claude-opus-4-7,"The wallet bought YES at $0.985-0.991 on Dec 2-3, just 1-2 days before resolution when the price was already near certainty. This is not insider information — it's late-stage scooping of near-certain yes shares for tiny yield. Bad Bunny being the top Spotify artist for 2025 was widely reported via Spotify Wrapped (released early December), which is public information. The 'early_timing' flag (>=24h before resolution) is technically true but misleading given prices were already at 0.98+.",0x24ded84d901a743cfee095f8082b0f9f647183cb,0xfccc16f3bba1210d40db55ee1b71c741be5b14dc3512aba5dc32de5c6e0c4bde,Will Bad Bunny be the top Spotify artist for 2025?,18325.995887000005,BUY,,6.0,0.9703543392475384,98.86899151743637,True,1.0,"[""All buys at $0.985-0.991 \u2014 essentially no edge, pure yield harvesting"", ""Trades occurred Dec 2-3, after Spotify Wrapped data would have been public""]","[""Buying at near-certainty prices is not insider trading; it's arbitrage/yield on near-resolved contracts"", ""Public Spotify Wrapped disclosure makes this public information by the trade date""]",[],[]
c04bd4af93289cba,c04bd4af93289cba,onchain,rejected,T2,claude-opus-4-7,"The market resolved NO (US did not strike Iran on Feb 21, 2026), with final price for No = 1. This wallet was buying YES at $0.988-$0.999 on Feb 21-22, which is the LOSING side. Despite the flag 'onchain_win_aligned=True', the actual trade history shows large BUYs on YES tokens at near-$1.00 prices, meaning they lost ~$94K. This contradicts insider thesis — insiders profit, they don't lose. More likely this is a mispricing/momentum play or a misread of the flag. The callouts reference different Iran markets (Israel striking Iran, earlier timeframes), not this specific Feb 21 market.",0xffc3110e8d6aec37db769c0994261412f8879d58,0xe5e57a570056e363a16129a3985cedcdfcb484d0d799a5f527a43baf31a11bf9,"Will the US next strike Iran on February 21, 2026 (ET)?",94252.85342000001,BUY,,6.0,1.0,99.87228607918263,True,1.0,"[""All 6 on-chain heuristics fired: fresh wallet, 100% concentration, top 0.13% size, $94K first position"", ""Single-purpose wallet with no other markets in catalog""]","[""Market resolved NO but wallet bought YES at $0.988-0.999 \u2014 they LOST the position, inconsistent with insider info"", ""win_aligned flag appears to be a false positive given final prices [0, 1] and BUY direction on YES token"", ""Callouts reference different Iran-strike markets, not this Feb 21 specific market""]",[],[]
22f5d4f37f88170e,22f5d4f37f88170e,onchain,rejected,T3,claude-sonnet-4-6,"This market is a pure ETH price prediction market — whether ETH will be above $2,200 on a specific date. This is speculative trading, not insider information, as no one has privileged knowledge of future crypto prices. The final payouts show ['0','1'] with ETH NOT being above $2,200 (No won), yet the wallet bought YES (BUY direction), meaning the wallet actually LOST this bet. The 'win_aligned' flag appears to be incorrect or the wallet lost money on this trade.",0x51729bf1b339d1c55216a01b087684e4e565ac35,0xc141b55ef76f20021f9539fa376b30a2c56e6ec2ee9b621a8a291771161e6d21,"Will the price of Ethereum be above $2,200 on February 9?",15096.792972999998,BUY,,6.0,1.0,99.74424552429667,True,1.0,"[""All 6 on-chain heuristic flags fired, including fresh wallet, single market, large first position"", ""Wallet concentrated 100% in this single market with ~$15K position""]","[""Market is ETH price speculation \u2014 no insider information possible, this is purely directional betting"", ""Final payouts show ['0','1'] meaning No won, but wallet was buying Yes \u2014 wallet likely LOST money, contradicting 'win_aligned' flag"", ""Crypto price markets are explicitly excluded from insider trading suspicion as price movement cannot be known in advance through non-public information"", ""Multiple trades spread over days (Feb 4-8) suggest active speculative trading, not a single confident insider bet""]",[],[]
2024ff9d66deef4e,2024ff9d66deef4e,onchain,rejected,T2,claude-sonnet-4-6,"All six on-chain heuristics fired, but the flow direction does NOT align with the winning outcome. The wallet bought 'Yes' (US will strike Iran on Feb 21, 2026) at ~0.999 price, but the market resolved 'No' (payouts: Yes=0, No=1). The trades on Feb 22 were made after the specific date in the question (Feb 21) had already passed without a strike, suggesting this was likely an attempt to collect near-certain 'No' liquidity at mispriced rates or a market-making strategy rather than insider information. The resolution was 'No' (payout=1 for No), so this wallet lost money.",0x99dd407b80e45874638d783f54b0d8c097544303,0xe5e57a570056e363a16129a3985cedcdfcb484d0d799a5f527a43baf31a11bf9,"Will the US next strike Iran on February 21, 2026 (ET)?",60859.83924000001,BUY,,6.0,1.0,99.78714346530438,True,1.0,"[""All 6 on-chain heuristics fired: fresh wallet, single market, large first position, top percentile size (99.79%), early timing"", ""Trades occurred on Feb 22, buying 'Yes' at 0.999 \u2014 after the specified strike date of Feb 21 had already passed without a US strike on Iran""]","[""Flow did NOT align with winning outcome \u2014 wallet bought Yes but market resolved No, meaning this wallet lost money"", ""Trades on Feb 22 buying 'Yes' at 0.999 for a Feb 21 event that had already passed suggests arbitrage/market-making of mispriced contracts, not insider info"", ""The callouts reference Israel/US strike markets generally, not this specific wallet or trade"", ""Buying at 0.999 after the event date passed could be exploitation of a stuck/mispriced market rather than insider trading""]",[],[]
